id,menu
1701446020-233,udang rambutan
1701446020-234,paket gacoan a
1701446020-235,mie gacoan lv 0
1701446020-236,udang keju
1701446020-236,es gobak sodor
1701446020-236,es coklat
1701446020-237,mie gacoan lv 1
1701446020-237,mie gacoan lv 3
1701446020-237,mie suit
1701446020-237,udang keju
1701446020-237,udang rambutan
1701446020-237,siomay
1701446020-238,mie suit
1701446020-239,udang keju
1701446020-239,mie gacoan lv 1
1701446020-240,mie gacoan lv 2
1701446020-240,lemon tea
1701446020-240,teh
1701446020-240,siomay
1701446020-241,mie gacoan lv 1
1701446020-241,udang keju
1701446020-242,teh
1701446020-242,udang keju
1701446020-242,udang rambutan
1701446020-242,mie gacoan lv 1
1701446020-243,mie gacoan lv 1
1701446020-244,paket hompimpa a
1701446020-245,mie gacoan lv 3
1701446020-246,mie gacoan lv 2
1701446020-246,mie gacoan lv 4
1701446020-246,teh tarik
1701446020-246,thai green tea
1701446020-246,pangsit
1701446020-247,mie gacoan lv 0
1701446020-248,mie hompimpa lv 4
1701446020-248,mie gacoan lv 0
1701446020-248,air mineral
1701446020-248,udang keju
1701446020-248,udang rambutan
1701446020-248,siomay
1701446020-248,thai green tea
1701446020-248,thai tea ori
1701446020-248,lumpia udang
1701446020-249,mie gacoan lv 1
1701446020-249,mie gacoan lv 2
1701446020-249,udang rambutan
1701446020-249,pangsit
1701446020-250,mie gacoan lv 1
1701446020-250,mie gacoan lv 3
1701446020-250,udang keju
1701446020-250,udang rambutan
1701446020-251,mie hompimpa lv 1
1701446020-252,mie gacoan lv 3
1701446020-253,mie gacoan lv 1
1701446020-253,mie hompimpa lv 1
1701446020-253,siomay
1701446020-253,udang keju
1701446020-253,lumpia udang
1701446020-254,mie gacoan lv 0
1701446020-254,udang keju
1701446020-255,mie suit
1701446020-255,mie gacoan lv 0
1701446020-255,mie gacoan lv 1
1701446020-255,orange
1701446020-256,paket gacoan a
1701446020-256,lumpia udang
1701446020-257,mie suit
1701446020-257,mie hompimpa lv 1
1701446020-258,mie gacoan lv 6
1701446020-258,mie gacoan lv 1
1701446020-259,mie gacoan lv 2
1701446020-259,mie gacoan lv 1
1701446020-259,mie gacoan lv 0
1701446020-260,mie gacoan lv 1
1701446020-260,mie gacoan lv 2
1701446020-260,udang keju
1701446020-261,mie hompimpa lv 6
1701446020-261,udang keju
1701446020-262,mie gacoan lv 1
1701446020-262,udang rambutan
1701446020-262,pangsit
1701446020-263,mie hompimpa lv 1
1701446020-263,mie suit
1701446020-263,mie hompimpa lv 2
1701446020-263,es coklat
1701446020-264,mie gacoan lv 2
